customer_age,annual_income,spending_score,purchase_frequency,website_visits,time_on_app,discount_usage,days_since_last_purchase,loyalty_points,social_media_engagement,preferred_payment_mode,city_tier
56,46247.49,81,9,26,78.99,47.29,98,4231,1.39,UPI,Tier2
69,,50,9,73,65.43,56.91,93,8343,4.08,Credit Card,Tier3
46,78913.99,61,13,73,51.22,57.65,42,1631,1.17,UPI,Tier3
32,54568.08,13,6,59,40.69,14.02,110,3572,5.82,UPI,Tier2
60,48021.02,12,14,22,28.28,25.08,81,3279,1.5,UPI,Tier1
25,100409.45,29,9,54,69.75,21.83,72,8633,1.8,Debit Card,Tier1
38,70004.91,85,10,71,39.53,32.48,36,2925,9.45,UPI,Tier2
56,78991.29,84,4,33,25.75,,75,848,6.26,Cash,Tier1
36,46914.33,20,13,28,47.41,34.16,38,9159,9.17,UPI,Tier1
40,38175.74,31,9,25,71.37,66.65,115,2042,1.65,Cash,Tier1
28,52472.1,8,8,43,16.78,29.75,30,7691,9.89,UPI,Tier3
28,62271.53,24,5,55,23.21,48.87,64,3830,7.87,Cash,Tier1
41,41587.16,75,5,77,15.38,90.4,27,1543,8.34,UPI,Tier3
53,64783.41,39,4,29,34.1,91.33,6,7782,9.2,Cash,Tier2
57,27852.89,33,7,22,55.06,,119,605,9.46,Debit Card,Tier2
41,40358.96,42,8,60,,41.63,105,7228,7.43,Debit Card,Tier2
20,79760.05,15,8,65,50.87,70.21,23,1768,6.5,Credit Card,Tier3
39,78283.39,68,5,14,55.83,29.69,108,5712,2.11,Cash,Tier1
19,56378.71,65,4,26,33.23,74.02,27,1621,1.98,UPI,Tier1
41,42609.19,32,7,57,61.2,95.71,25,292,3.76,UPI,Tier2
61,42397.12,11,10,30,36.44,,81,1410,4.71,UPI,Tier1
47,56788.1,94,12,55,52.7,21.33,22,526,9.91,Credit Card,Tier2
55,,37,10,33,30.0,51.56,109,5703,6.77,Cash,Tier2
19,85421.41,19,7,29,56.19,,113,6558,6.83,Credit Card,Tier2
38,54076.3,51,2,26,22.41,81.16,117,6275,5.94,Cash,Tier2
50,39623.17,34,3,61,68.66,33.88,22,3203,2.17,UPI,Tier3
29,70892.56,71,6,64,21.33,92.93,104,9599,5.92,Cash,Tier1
39,46882.23,60,6,28,54.54,83.86,46,7833,3.36,Credit Card,Tier1
61,53598.44,84,7,8,50.95,5.16,116,8600,6.1,Debit Card,Tier1
42,94156.07,53,7,25,69.21,,63,133,3.67,Debit Card,Tier3
66,83196.54,12,10,60,53.93,66.37,49,6185,5.63,Cash,Tier2
44,68475.43,62,5,71,58.68,77.95,59,7483,6.62,UPI,Tier3
59,37017.78,96,8,66,30.82,,51,4933,5.2,Debit Card,Tier2
45,69650.72,66,11,60,37.8,99.26,108,5277,1.17,Debit Card,Tier2
33,88378.46,86,11,17,74.76,54.85,89,7600,2.45,Debit Card,Tier2
32,56736.06,48,3,43,36.75,,27,484,6.49,Debit Card,Tier2
64,94724.51,40,5,44,65.32,48.43,12,3276,2.84,Cash,Tier2
68,93440.4,24,10,5,39.23,84.91,70,7001,2.84,Cash,Tier2
61,101602.12,50,8,14,32.9,25.36,49,7243,7.21,Credit Card,Tier1
69,71715.35,95,10,47,22.29,11.16,80,2831,4.82,UPI,Tier3
20,77922.62,68,4,73,44.2,62.36,61,4844,7.53,Credit Card,Tier3
54,96112.12,88,9,45,46.36,2.84,47,8269,1.79,Credit Card,Tier1
68,74842.67,43,8,60,39.97,3.97,85,2375,8.04,Debit Card,Tier3
24,53972.85,17,2,79,39.99,21.2,96,6676,6.26,Cash,Tier2
38,55132.06,83,4,51,,0.63,90,354,5.73,UPI,Tier3
26,70248.21,55,9,44,10.81,7.25,85,9959,8.25,Debit Card,Tier1
56,36607.65,34,11,60,39.73,40.81,6,3922,9.53,Credit Card,Tier2
35,61848.3,97,10,10,47.36,39.39,102,2212,6.87,Cash,Tier2
21,89124.04,70,10,39,66.81,57.14,34,3783,2.2,Debit Card,Tier1
42,16792.42,60,8,76,47.85,25.82,17,7949,6.56,Credit Card,Tier3
